"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2006","143.80","143.25","143.98","142.43","-","0.38%"
"Feb 28, 2006","143.25","143.72","144.11","142.67","-","-0.31%"
"Feb 27, 2006","143.69","143.46","144.05","142.95","-","0.14%"
"Feb 24, 2006","143.49","144.38","144.39","143.25","-","-0.64%"
"Feb 23, 2006","144.42","144.67","144.69","143.49","-","-0.17%"
"Feb 22, 2006","144.67","142.44","144.89","141.72","-","1.57%"
"Feb 21, 2006","142.44","141.93","143.43","141.68","-","0.35%"
"Feb 17, 2006","141.94","140.98","141.98","140.44","-","0.68%"
"Feb 16, 2006","140.98","139.73","140.98","139.56","-","0.87%"
"Feb 15, 2006","139.77","139.04","139.87","138.50","-","0.55%"
"Feb 14, 2006","139.01","138.19","139.16","136.75","-","0.60%"
"Feb 13, 2006","138.18","137.89","138.28","137.61","-","0.20%"
"Feb 10, 2006","137.90","137.81","138.86","136.92","-","0.05%"
"Feb 09, 2006","137.83","137.16","138.53","136.45","-","0.48%"
"Feb 08, 2006","137.17","137.48","137.51","135.86","-","-0.18%"
"Feb 07, 2006","137.42","138.47","138.94","137.35","-","-0.78%"
"Feb 06, 2006","138.50","137.87","138.50","137.65","-","0.46%"
"Feb 03, 2006","137.87","139.69","139.69","136.63","-","-1.42%"
"Feb 02, 2006","139.86","141.30","141.30","139.39","-","-1.02%"
"Feb 01, 2006","141.30","140.30","141.70","139.72","-","0.68%"
"Jan 31, 2006","140.34","140.27","141.09","139.45","-","0.05%"
"Jan 30, 2006","140.27","141.19","141.19","139.78","-","-0.64%"
"Jan 27, 2006","141.18","138.72","141.89","138.72","-","1.78%"
"Jan 26, 2006","138.71","138.25","139.21","138.22","-","0.34%"
"Jan 25, 2006","138.24","138.12","139.40","137.80","-","0.07%"
"Jan 24, 2006","138.14","137.25","138.45","137.25","-","0.66%"
"Jan 23, 2006","137.23","135.92","137.50","135.92","-","1.00%"
"Jan 20, 2006","135.87","137.95","137.95","135.72","-","-1.49%"
"Jan 19, 2006","137.93","136.14","138.16","136.14","-","1.33%"
"Jan 18, 2006","136.12","136.10","136.68","135.41","-","0.01%"
"Jan 17, 2006","136.10","136.35","136.37","135.24","-","-0.31%"
"Jan 13, 2006","136.53","138.67","138.67","136.27","-","-1.56%"
"Jan 12, 2006","138.70","139.09","139.10","138.34","-","-0.24%"
"Jan 11, 2006","139.04","139.42","140.00","138.63","-","-0.26%"
"Jan 10, 2006","139.40","138.10","139.88","137.41","-","0.91%"
"Jan 09, 2006","138.14","137.28","138.14","137.14","-","0.71%"
"Jan 06, 2006","137.16","135.55","137.16","135.55","-","1.30%"
"Jan 05, 2006","135.40","134.14","136.22","134.13","-","0.87%"
"Jan 04, 2006","134.23","133.52","134.45","133.36","-","0.47%"
"Jan 03, 2006","133.60","130.33","133.76","129.80","-","2.51%"
"Dec 30, 2005","130.33","131.13","131.30","130.29","-","-0.66%"
"Dec 29, 2005","131.19","132.20","132.82","130.94","-","-0.73%"
"Dec 28, 2005","132.16","132.70","133.18","131.57","-","-0.35%"
"Dec 27, 2005","132.62","132.55","133.72","132.35","-","0.05%"
"Dec 23, 2005","132.55","132.12","132.88","132.12","-","0.39%"
"Dec 22, 2005","132.04","131.06","132.27","130.05","-","0.66%"
"Dec 21, 2005","131.18","130.01","131.33","130.01","-","0.87%"
"Dec 20, 2005","130.05","130.10","130.45","129.53","-","-0.02%"
"Dec 19, 2005","130.07","131.60","131.62","129.97","-","-1.17%"
"Dec 16, 2005","131.61","131.35","132.21","131.35","-","0.24%"
"Dec 15, 2005","131.29","132.73","133.23","131.25","-","-1.06%"
"Dec 14, 2005","132.69","133.37","133.37","132.39","-","-0.55%"
"Dec 13, 2005","133.42","132.70","133.59","132.02","-","0.54%"
"Dec 12, 2005","132.70","132.77","133.33","131.91","-","-0.11%"
"Dec 09, 2005","132.84","132.34","133.15","132.16","-","0.45%"
"Dec 08, 2005","132.24","131.72","133.43","131.72","-","0.42%"
"Dec 07, 2005","131.69","132.22","132.43","131.04","-","-0.52%"
"Dec 06, 2005","132.38","133.08","133.35","132.38","-","-0.52%"
"Dec 05, 2005","133.07","134.22","134.22","132.75","-","-0.94%"
"Dec 02, 2005","134.33","134.50","134.57","133.36","-","-0.14%"
"Dec 01, 2005","134.52","133.02","134.64","133.02","-","1.19%"
"Nov 30, 2005","132.94","134.14","134.70","132.81","-","-0.86%"
"Nov 29, 2005","134.09","133.97","134.57","133.97","-","0.10%"
"Nov 28, 2005","133.96","135.13","135.41","133.91","-","-0.92%"
"Nov 25, 2005","135.20","134.80","135.26","134.47","-","0.30%"
"Nov 23, 2005","134.80","134.14","134.99","133.80","-","0.49%"
"Nov 22, 2005","134.14","132.33","134.23","131.95","-","1.36%"
"Nov 21, 2005","132.34","131.64","132.34","130.97","-","0.52%"
"Nov 18, 2005","131.65","131.16","131.81","130.78","-","0.49%"
"Nov 17, 2005","131.01","129.38","131.34","129.38","-","1.27%"
"Nov 16, 2005","129.37","129.66","129.86","128.98","-","-0.29%"
"Nov 15, 2005","129.74","129.73","130.63","129.34","-","-0.05%"
"Nov 14, 2005","129.81","130.40","131.00","129.64","-","-0.45%"
"Nov 11, 2005","130.40","129.09","130.40","128.73","-","1.00%"
"Nov 10, 2005","129.11","125.86","129.25","125.68","-","2.62%"
"Nov 09, 2005","125.81","124.25","127.15","124.18","-","1.28%"
"Nov 08, 2005","124.22","124.31","124.31","123.10","-","-0.18%"
"Nov 07, 2005","124.44","120.09","124.89","119.73","-","0.66%"
"Nov 04, 2005","123.62","124.12","124.35","122.38","-","-0.38%"
"Nov 03, 2005","124.09","124.87","125.56","123.68","-","-0.62%"
"Nov 02, 2005","124.87","124.36","124.92","123.37","-","0.42%"
"Nov 01, 2005","124.35","127.50","127.50","123.36","-","-2.60%"
"Oct 31, 2005","127.67","126.90","128.19","126.90","-","0.61%"
"Oct 28, 2005","126.90","122.72","126.95","122.72","-","3.48%"
