"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 24, 2019","359.10","360.89","362.04","359.05","-","-0.56%"
"Apr 23, 2019","361.14","359.10","362.39","358.15","-","0.44%"
"Apr 22, 2019","359.56","361.35","361.75","359.22","-","-0.67%"
"Apr 18, 2019","362.00","361.40","362.95","360.15","-","0.11%"
"Apr 17, 2019","361.59","364.88","366.27","361.49","-","-0.61%"
"Apr 16, 2019","363.80","361.59","363.85","360.17","-","0.47%"
"Apr 15, 2019","362.09","363.80","364.00","361.51","-","-0.46%"
"Apr 12, 2019","363.77","361.27","363.79","360.88","-","1.31%"
"Apr 11, 2019","359.06","359.05","360.44","358.16","-","-0.06%"
"Apr 10, 2019","359.27","359.59","360.40","357.97","-","-0.03%"
"Apr 09, 2019","359.38","361.68","361.68","358.52","-","-0.78%"
"Apr 08, 2019","362.21","361.33","362.46","360.32","-","0.05%"
"Apr 05, 2019","362.03","361.84","363.44","361.04","-","-0.05%"
"Apr 04, 2019","362.21","358.82","362.22","358.64","-","1.01%"
"Apr 03, 2019","358.60","356.02","360.65","355.89","-","1.33%"
"Apr 02, 2019","353.90","352.68","375.93","352.17","-","0.40%"
"Apr 01, 2019","352.48","348.29","353.10","348.29","-","1.50%"
"Mar 29, 2019","347.27","344.30","347.49","343.26","-","0.75%"
"Mar 28, 2019","344.67","342.26","344.79","341.81","-","0.95%"
"Mar 27, 2019","341.42","341.37","342.42","338.95","-","-0.09%"
"Mar 26, 2019","341.72","340.76","342.74","339.34","-","0.57%"
"Mar 25, 2019","339.78","339.90","342.74","339.16","-","-0.16%"
"Mar 22, 2019","340.33","348.07","348.07","339.75","-","-2.99%"
"Mar 21, 2019","350.83","345.83","352.12","345.74","-","1.04%"
"Mar 20, 2019","347.21","347.29","348.96","343.94","-","-0.05%"
"Mar 19, 2019","347.38","348.83","351.78","345.92","-","-0.15%"
"Mar 18, 2019","347.89","347.01","348.38","345.35","-","0.16%"
"Mar 15, 2019","347.35","346.61","349.78","345.87","-","0.20%"
"Mar 14, 2019","346.65","348.74","348.90","345.91","-","-0.79%"
"Mar 13, 2019","349.42","348.81","351.48","348.68","-","0.53%"
"Mar 12, 2019","347.59","347.24","349.66","347.24","-","0.33%"
"Mar 11, 2019","346.43","342.20","346.51","342.08","-","1.41%"
"Mar 08, 2019","341.60","340.05","341.75","337.35","-","0.21%"
"Mar 07, 2019","340.90","343.16","343.16","338.42","-","-0.89%"
"Mar 06, 2019","343.96","344.21","346.46","343.56","-","0.20%"
"Mar 05, 2019","343.29","344.30","345.12","343.07","-","-0.50%"
"Mar 04, 2019","345.03","344.63","346.38","339.86","-","0.45%"
"Mar 01, 2019","343.50","346.29","348.22","342.29","-","-0.16%"
"Feb 28, 2019","344.05","348.28","348.28","343.40","-","-1.27%"
"Feb 27, 2019","348.46","348.89","349.41","346.15","-","-0.25%"
"Feb 26, 2019","349.35","350.91","351.56","349.32","-","-0.59%"
"Feb 25, 2019","351.44","349.89","352.34","349.89","-","0.65%"
"Feb 22, 2019","349.17","349.42","350.16","347.89","-","0.41%"
"Feb 21, 2019","347.76","349.34","350.28","346.32","-","-0.41%"
"Feb 20, 2019","349.18","343.71","351.22","343.71","-","1.69%"
"Feb 19, 2019","343.39","340.18","345.06","339.54","-","0.58%"
"Feb 15, 2019","341.41","339.33","342.11","338.92","-","1.36%"
"Feb 14, 2019","336.83","337.76","339.25","335.92","-","-0.55%"
"Feb 13, 2019","338.70","339.95","341.04","338.28","-","0.10%"
"Feb 12, 2019","338.35","332.99","338.67","332.95","-","2.25%"
"Feb 11, 2019","330.92","331.09","331.75","329.23","-","0.19%"
"Feb 08, 2019","330.30","329.83","330.31","326.08","-","-0.05%"
"Feb 07, 2019","330.47","333.86","333.86","327.94","-","-1.39%"
"Feb 06, 2019","335.12","336.12","336.91","334.58","-","-0.68%"
"Feb 05, 2019","337.41","335.29","337.93","335.27","-","0.80%"
"Feb 04, 2019","334.73","335.37","335.47","332.41","-","-0.23%"
"Feb 01, 2019","335.49","334.13","336.00","332.68","-","0.45%"
