"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2015","625.03","622.78","625.23","620.12","-","0.26%"
"Dec 24, 2015","623.39","624.82","625.14","622.82","-","-0.26%"
"Dec 23, 2015","625.03","622.39","625.48","622.36","-","0.57%"
"Dec 22, 2015","621.50","618.24","622.91","616.99","-","0.67%"
"Dec 21, 2015","617.35","616.38","620.31","613.20","-","0.37%"
"Dec 18, 2015","615.07","623.58","623.58","614.75","-","-1.45%"
"Dec 17, 2015","624.12","634.81","636.03","624.11","-","-1.63%"
"Dec 16, 2015","634.44","625.61","635.59","624.32","-","1.69%"
"Dec 15, 2015","623.89","621.78","630.00","621.78","-","0.58%"
"Dec 14, 2015","620.30","618.29","621.63","611.27","-","0.46%"
"Dec 11, 2015","617.47","630.06","630.06","616.43","-","-2.32%"
"Dec 10, 2015","632.16","630.98","635.98","629.67","-","0.24%"
"Dec 09, 2015","630.62","637.02","641.80","627.52","-","-1.22%"
"Dec 08, 2015","638.42","638.30","641.58","633.54","-","-0.32%"
"Dec 07, 2015","640.48","643.19","643.19","636.21","-","-0.46%"
"Dec 04, 2015","643.44","631.76","643.97","631.76","-","1.98%"
"Dec 03, 2015","630.96","640.83","642.58","628.40","-","-1.52%"
"Dec 02, 2015","640.68","646.52","646.76","639.72","-","-0.90%"
"Dec 01, 2015","646.50","641.06","646.63","641.06","-","1.01%"
"Nov 30, 2015","640.02","645.57","646.49","639.58","-","-0.84%"
"Nov 27, 2015","645.46","647.95","648.61","643.06","-","-0.41%"
"Nov 25, 2015","648.09","645.04","649.18","645.04","-","0.49%"
"Nov 24, 2015","644.91","645.43","646.97","638.45","-","-0.21%"
"Nov 23, 2015","646.26","644.26","648.94","643.94","-","0.35%"
"Nov 20, 2015","644.03","637.17","644.06","637.17","-","1.23%"
"Nov 19, 2015","636.18","635.63","638.74","634.93","-","0.07%"
"Nov 18, 2015","635.75","626.04","636.33","625.32","-","1.70%"
"Nov 17, 2015","625.10","624.26","630.37","623.00","-","0.21%"
"Nov 16, 2015","623.77","615.84","623.77","612.66","-","1.23%"
"Nov 13, 2015","616.20","632.28","632.28","615.83","-","-2.65%"
"Nov 12, 2015","632.99","638.55","639.10","632.68","-","-0.98%"
"Nov 11, 2015","639.24","642.88","644.05","637.83","-","-0.50%"
"Nov 10, 2015","642.42","636.38","642.65","635.97","-","0.82%"
"Nov 09, 2015","637.19","643.73","643.73","632.54","-","-1.34%"
"Nov 06, 2015","645.84","644.87","647.36","641.82","-","-0.02%"
"Nov 05, 2015","645.99","644.14","647.60","641.23","-","0.37%"
"Nov 04, 2015","643.58","647.96","649.46","640.38","-","-0.65%"
"Nov 03, 2015","647.78","644.76","649.30","644.27","-","0.41%"
"Nov 02, 2015","645.16","642.90","646.15","640.65","-","0.44%"
"Oct 30, 2015","642.34","641.00","646.53","640.55","-","0.23%"
"Oct 29, 2015","640.88","638.97","642.06","636.16","-","0.27%"
"Oct 28, 2015","639.14","633.65","639.15","631.00","-","0.95%"
"Oct 27, 2015","633.15","635.99","635.99","630.70","-","-0.53%"
"Oct 26, 2015","636.52","631.98","637.35","631.81","-","0.77%"
"Oct 23, 2015","631.66","629.76","636.84","628.53","-","0.42%"
"Oct 22, 2015","629.04","621.59","629.82","621.59","-","1.39%"
"Oct 21, 2015","620.40","623.78","626.21","619.76","-","-0.38%"
"Oct 20, 2015","622.79","623.97","626.04","621.43","-","-0.23%"
"Oct 19, 2015","624.21","620.85","624.40","619.60","-","0.45%"
"Oct 16, 2015","621.40","617.97","621.45","617.54","-","0.60%"
"Oct 15, 2015","617.72","610.99","617.99","608.84","-","1.26%"
"Oct 14, 2015","610.03","616.31","618.27","608.75","-","-1.02%"
"Oct 13, 2015","616.31","619.13","621.73","615.64","-","-0.55%"
"Oct 12, 2015","619.71","617.13","621.30","617.11","-","0.47%"
"Oct 09, 2015","616.79","615.81","617.16","613.28","-","0.17%"
"Oct 08, 2015","615.75","607.81","616.83","606.82","-","1.17%"
"Oct 07, 2015","608.62","607.20","609.87","602.76","-","0.34%"
"Oct 06, 2015","606.54","610.76","613.05","603.66","-","-0.70%"
"Oct 05, 2015","610.82","603.60","611.98","603.60","-","1.44%"
"Oct 02, 2015","602.12","593.06","602.13","583.94","-","1.43%"
"Oct 01, 2015","593.66","589.57","593.85","584.90","-","0.73%"
"Sep 30, 2015","589.37","576.40","590.00","576.40","-","2.66%"
"Sep 29, 2015","574.08","576.03","580.07","570.40","-","-0.29%"
"Sep 28, 2015","575.76","591.99","591.99","574.55","-","-2.89%"
"Sep 25, 2015","592.92","593.06","600.08","590.21","-","0.01%"
"Sep 24, 2015","592.86","594.10","594.10","584.94","-","-0.31%"
"Sep 23, 2015","594.72","596.34","597.53","592.69","-","-0.27%"
"Sep 22, 2015","596.33","602.37","602.37","592.02","-","-1.26%"
"Sep 21, 2015","603.95","600.60","607.02","599.33","-","0.75%"
"Sep 18, 2015","599.47","608.34","608.34","598.21","-","-1.52%"
"Sep 17, 2015","608.75","607.46","617.72","606.95","-","0.25%"
"Sep 16, 2015","607.23","600.43","607.95","599.74","-","1.14%"
"Sep 15, 2015","600.37","595.04","601.85","591.46","-","1.08%"
"Sep 14, 2015","593.95","597.30","597.34","591.95","-","-0.57%"
"Sep 11, 2015","597.33","592.37","597.33","590.05","-","0.74%"
"Sep 10, 2015","592.94","591.02","596.55","589.09","-","0.27%"
"Sep 09, 2015","591.33","599.23","603.99","590.17","-","-1.12%"
"Sep 08, 2015","598.00","587.21","598.42","587.21","-","2.32%"
"Sep 04, 2015","584.43","590.07","590.07","580.73","-","-1.12%"
"Sep 03, 2015","591.04","591.13","598.22","588.94","-","0.06%"
"Sep 02, 2015","590.69","580.53","590.74","580.53","-","2.10%"
"Sep 01, 2015","578.55","590.67","590.67","575.38","-","-2.61%"
"Aug 31, 2015","594.07","597.88","598.96","592.08","-","-0.73%"
"Aug 28, 2015","598.46","597.92","601.67","594.86","-","0.02%"
"Aug 27, 2015","598.32","585.78","599.89","585.78","-","2.35%"
"Aug 26, 2015","584.57","564.91","585.34","564.91","-","3.85%"
"Aug 25, 2015","562.89","566.88","584.23","562.89","-","-0.40%"
"Aug 24, 2015","565.13","587.03","587.03","552.15","-","-4.02%"
"Aug 21, 2015","588.77","607.51","607.51","588.77","-","-3.29%"
"Aug 20, 2015","608.80","624.80","624.80","608.78","-","-2.80%"
"Aug 19, 2015","626.33","627.40","630.90","623.48","-","-0.23%"
"Aug 18, 2015","627.80","627.09","630.02","626.51","-","0.10%"
"Aug 17, 2015","627.19","620.95","627.38","618.40","-","0.97%"
"Aug 14, 2015","621.18","620.38","621.98","619.06","-","0.12%"
"Aug 13, 2015","620.45","616.90","624.56","616.80","-","0.58%"
"Aug 12, 2015","616.90","617.54","618.19","607.27","-","-0.42%"
"Aug 11, 2015","619.48","624.85","624.85","617.11","-","-1.01%"
"Aug 10, 2015","625.79","621.24","627.41","621.24","-","0.86%"
"Aug 07, 2015","620.48","620.82","622.01","616.39","-","-0.08%"
"Aug 06, 2015","620.95","628.81","629.43","614.38","-","-1.34%"
"Aug 05, 2015","629.36","636.81","636.81","628.65","-","-1.08%"
"Aug 04, 2015","636.24","633.72","637.95","633.72","-","0.32%"
"Aug 03, 2015","634.22","636.12","637.51","630.60","-","-0.25%"
"Jul 31, 2015","635.81","634.66","638.53","634.11","-","0.28%"
"Jul 30, 2015","634.04","631.70","634.75","628.06","-","0.33%"
"Jul 29, 2015","631.94","625.87","632.72","625.87","-","0.99%"
"Jul 28, 2015","625.73","621.58","626.68","619.69","-","0.83%"
"Jul 27, 2015","620.57","624.69","625.67","619.15","-","-0.72%"
"Jul 24, 2015","625.05","625.23","636.73","624.31","-","-0.02%"
"Jul 23, 2015","625.19","629.26","631.19","624.00","-","-0.59%"
"Jul 22, 2015","628.91","626.83","630.14","626.49","-","0.42%"
"Jul 21, 2015","626.25","627.88","628.26","624.39","-","-0.30%"
"Jul 20, 2015","628.12","627.77","629.68","627.12","-","0.03%"
"Jul 17, 2015","627.93","629.10","629.17","625.88","-","-0.19%"
"Jul 16, 2015","629.13","625.50","629.33","625.50","-","0.65%"
"Jul 15, 2015","625.07","625.79","626.66","623.73","-","-0.12%"
"Jul 14, 2015","625.85","625.09","626.79","624.51","-","0.13%"
"Jul 13, 2015","625.02","616.13","625.30","616.13","-","1.47%"
"Jul 10, 2015","615.98","608.45","617.25","608.45","-","1.44%"
"Jul 09, 2015","607.21","606.65","613.19","606.65","-","0.42%"
"Jul 08, 2015","604.69","615.67","615.67","604.12","-","-1.86%"
"Jul 07, 2015","616.17","611.39","616.46","604.49","-","0.81%"
"Jul 06, 2015","611.24","612.59","615.13","608.54","-","-0.24%"
"Jul 02, 2015","612.72","613.87","617.21","610.62","-","-0.13%"
"Jul 01, 2015","613.50","608.22","613.60","608.22","-","1.04%"
"Jun 30, 2015","607.21","606.48","610.17","604.51","-","0.50%"
"Jun 29, 2015","604.20","618.23","618.23","603.94","-","-2.29%"
"Jun 26, 2015","618.39","616.45","620.21","616.42","-","0.40%"
"Jun 25, 2015","615.93","615.97","619.41","615.63","-","-0.05%"
"Jun 24, 2015","616.23","620.76","621.57","616.22","-","-0.74%"
"Jun 23, 2015","620.82","618.56","621.14","618.56","-","0.38%"
"Jun 22, 2015","618.50","615.94","620.45","615.94","-","0.48%"
"Jun 19, 2015","615.52","616.84","618.61","615.41","-","-0.24%"
"Jun 18, 2015","617.00","609.80","618.63","609.80","-","1.25%"
"Jun 17, 2015","609.37","606.69","610.96","605.34","-","0.47%"
"Jun 16, 2015","606.54","603.17","606.92","602.34","-","0.55%"
"Jun 15, 2015","603.22","605.61","605.61","600.17","-","-0.46%"
"Jun 12, 2015","606.02","607.79","607.79","605.07","-","-0.42%"
"Jun 11, 2015","608.58","607.65","610.85","607.65","-","0.26%"
"Jun 10, 2015","607.03","601.38","608.22","601.38","-","1.02%"
"Jun 09, 2015","600.90","601.20","602.49","597.22","-","-0.10%"
"Jun 08, 2015","601.48","605.48","605.48","601.38","-","-0.71%"
"Jun 05, 2015","605.76","606.87","607.25","603.22","-","-0.28%"
"Jun 04, 2015","607.45","610.57","611.86","606.64","-","-0.68%"
"Jun 03, 2015","611.62","607.48","612.75","607.42","-","0.72%"
"Jun 02, 2015","607.26","605.86","610.27","604.05","-","0.16%"
"Jun 01, 2015","606.30","604.62","608.34","603.34","-","0.31%"
"May 29, 2015","604.41","608.46","609.21","603.68","-","-0.69%"
"May 28, 2015","608.59","609.50","609.96","607.24","-","-0.23%"
"May 27, 2015","610.00","606.62","610.69","605.64","-","0.67%"
"May 26, 2015","605.92","609.57","611.13","604.67","-","-0.63%"
"May 22, 2015","609.74","610.88","612.15","609.08","-","-0.16%"
"May 21, 2015","610.74","608.28","612.33","608.28","-","0.36%"
"May 20, 2015","608.55","609.40","611.16","606.55","-","-0.15%"
"May 19, 2015","609.45","609.52","612.41","608.89","-","-0.02%"
"May 18, 2015","609.59","607.03","610.59","607.02","-","0.42%"
"May 15, 2015","607.07","603.12","607.07","602.68","-","0.75%"
"May 14, 2015","602.57","601.20","602.68","598.94","-","0.43%"
"May 13, 2015","599.99","603.85","605.77","599.36","-","-0.61%"
"May 12, 2015","603.69","603.88","605.79","599.08","-","-0.20%"
"May 11, 2015","604.90","607.47","610.06","604.87","-","-0.42%"
"May 08, 2015","607.47","602.87","609.95","602.87","-","1.09%"
"May 07, 2015","600.90","597.94","602.07","596.62","-","0.48%"
"May 06, 2015","598.05","600.99","602.73","595.13","-","-0.42%"
"May 05, 2015","600.56","606.36","607.58","600.33","-","-1.03%"
"May 04, 2015","606.80","606.90","610.08","606.02","-","0.19%"
"May 01, 2015","605.66","598.17","605.71","598.17","-","1.40%"
"Apr 30, 2015","597.30","603.99","604.87","594.76","-","-1.15%"
"Apr 29, 2015","604.24","607.01","607.71","601.65","-","-0.66%"
"Apr 28, 2015","608.27","610.00","610.01","604.13","-","-0.34%"
"Apr 27, 2015","610.37","615.84","617.60","609.90","-","-0.85%"
"Apr 24, 2015","615.58","607.82","616.37","607.82","-","1.34%"
"Apr 23, 2015","607.44","604.43","610.78","604.39","-","0.46%"
"Apr 22, 2015","604.63","604.00","605.63","601.27","-","0.14%"
"Apr 21, 2015","603.76","603.76","606.17","602.13","-","0.07%"
"Apr 20, 2015","603.32","597.70","604.36","597.70","-","1.07%"
"Apr 17, 2015","596.96","604.98","604.98","595.08","-","-1.47%"
"Apr 16, 2015","605.86","605.38","607.14","604.92","-","0.21%"
"Apr 15, 2015","604.58","604.99","607.98","604.39","-","0.00%"
"Apr 14, 2015","604.56","604.70","606.33","601.10","-","-0.07%"
"Apr 13, 2015","605.01","608.27","609.44","604.94","-","-0.53%"
"Apr 10, 2015","608.22","606.59","608.86","606.23","-","0.32%"
"Apr 09, 2015","606.28","605.74","607.90","602.09","-","0.09%"
"Apr 08, 2015","605.73","600.63","605.73","600.63","-","0.92%"
"Apr 07, 2015","600.20","603.21","604.40","600.12","-","-0.52%"
"Apr 06, 2015","603.35","599.86","605.77","597.07","-","0.47%"
"Apr 02, 2015","600.52","595.38","601.46","594.00","-","0.90%"
"Apr 01, 2015","595.17","598.02","598.02","591.55","-","-0.45%"
"Mar 31, 2015","597.86","600.56","604.16","597.86","-","-0.45%"
"Mar 30, 2015","600.59","595.10","602.18","595.10","-","1.00%"
