"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 14, 2009","409.52","407.32","409.86","402.34","226.31M","0.54%"
"Sep 11, 2009","407.32","407.15","412.50","404.59","294.29M","0.03%"
"Sep 10, 2009","407.19","401.19","407.50","400.28","258.21M","1.50%"
"Sep 09, 2009","401.19","400.70","404.73","398.50","236.34M","0.12%"
"Sep 08, 2009","400.71","390.54","401.95","390.54","265.67M","2.58%"
"Sep 04, 2009","390.64","384.79","391.15","384.13","176.67M","1.52%"
"Sep 03, 2009","384.81","383.23","386.78","382.56","205.25M","0.41%"
"Sep 02, 2009","383.23","385.11","387.80","383.08","246.70M","-0.49%"
"Sep 01, 2009","385.13","391.31","395.04","384.38","287.01M","-1.58%"
"Aug 31, 2009","391.31","398.48","398.48","389.40","312.04M","-1.83%"
"Aug 28, 2009","398.61","400.04","403.00","396.89","175.25M","-0.36%"
"Aug 27, 2009","400.05","401.55","401.55","392.07","196.29M","-0.37%"
"Aug 26, 2009","401.55","399.40","402.30","394.73","191.83M","0.53%"
"Aug 25, 2009","399.42","404.91","408.16","398.07","216.10M","-1.36%"
"Aug 24, 2009","404.91","399.68","407.28","399.68","225.99M","1.31%"
"Aug 21, 2009","399.68","389.24","400.40","389.24","260.16M","2.68%"
"Aug 20, 2009","389.24","385.82","389.78","385.82","191.07M","0.89%"
"Aug 19, 2009","385.82","378.62","388.15","374.46","221.90M","1.90%"
"Aug 18, 2009","378.62","375.29","379.77","374.72","185.23M","0.89%"
"Aug 17, 2009","375.29","386.71","386.71","373.24","220.65M","-3.10%"
"Aug 14, 2009","387.28","392.69","392.69","383.76","212.00M","-1.38%"
"Aug 13, 2009","392.69","389.83","393.15","387.20","246.12M","0.73%"
"Aug 12, 2009","389.84","384.88","392.72","384.75","209.37M","1.27%"
"Aug 11, 2009","384.94","390.72","390.72","383.92","193.90M","-1.67%"
"Aug 10, 2009","391.49","390.48","393.52","388.56","185.87M","0.25%"
"Aug 07, 2009","390.51","390.78","395.27","389.05","219.49M","-0.07%"
"Aug 06, 2009","390.80","393.79","394.79","388.36","230.66M","-0.76%"
"Aug 05, 2009","393.80","397.93","397.93","391.87","249.84M","-1.04%"
"Aug 04, 2009","397.94","398.77","399.45","393.89","241.74M","-0.21%"
"Aug 03, 2009","398.78","389.92","401.09","389.92","271.24M","2.27%"
"Jul 31, 2009","389.92","387.36","391.46","382.25","250.81M","0.66%"
"Jul 30, 2009","387.36","383.15","390.73","381.99","259.60M","1.08%"
"Jul 29, 2009","383.22","391.05","391.05","378.87","269.15M","-2.07%"
"Jul 28, 2009","391.31","397.45","397.45","384.99","274.23M","-1.54%"
"Jul 27, 2009","397.45","396.19","399.45","393.10","222.31M","0.32%"
"Jul 24, 2009","396.19","392.44","396.47","389.48","217.57M","0.96%"
"Jul 23, 2009","392.44","381.39","393.20","380.87","262.88M","2.90%"
"Jul 22, 2009","381.39","385.34","385.45","379.51","240.16M","-1.03%"
"Jul 21, 2009","385.34","381.22","386.61","379.00","260.97M","1.08%"
"Jul 20, 2009","381.22","375.07","382.32","375.01","259.33M","1.64%"
"Jul 17, 2009","375.08","373.69","376.88","370.07","252.80M","0.37%"
"Jul 16, 2009","373.69","370.06","375.41","365.81","242.60M","0.98%"
"Jul 15, 2009","370.06","357.58","370.55","357.58","270.63M","3.49%"
"Jul 14, 2009","357.59","353.23","358.56","353.10","237.60M","1.23%"
"Jul 13, 2009","353.23","347.64","353.35","342.15","253.89M","1.61%"
"Jul 10, 2009","347.64","351.63","351.63","343.41","235.10M","-1.13%"
