"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 14, 2018","466.98","463.92","467.42","463.92","-","0.66%"
"Sep 13, 2018","463.92","464.61","467.80","462.98","-","-0.15%"
"Sep 12, 2018","464.61","468.80","469.80","464.28","-","-0.89%"
"Sep 11, 2018","468.80","468.26","470.14","465.50","-","0.12%"
"Sep 10, 2018","468.26","468.63","470.71","467.97","-","-0.08%"
"Sep 07, 2018","468.63","469.17","470.35","467.01","-","-0.12%"
"Sep 06, 2018","469.17","471.96","472.17","467.99","-","-0.59%"
"Sep 05, 2018","471.96","471.81","474.19","471.20","-","0.03%"
"Sep 04, 2018","471.81","469.32","471.93","467.17","-","0.53%"
"Aug 31, 2018","469.32","469.72","469.72","466.72","-","-0.09%"
"Aug 30, 2018","469.72","473.44","473.44","469.19","-","-0.79%"
"Aug 29, 2018","473.44","473.55","474.81","471.33","-","-0.02%"
"Aug 28, 2018","473.55","474.04","475.30","472.96","-","-0.10%"
"Aug 27, 2018","474.04","467.79","475.73","467.79","-","1.34%"
"Aug 24, 2018","467.79","466.41","468.74","466.41","-","0.30%"
"Aug 23, 2018","466.41","468.82","468.82","465.78","-","-0.51%"
"Aug 22, 2018","468.82","470.06","470.11","467.83","-","-0.26%"
"Aug 21, 2018","470.06","468.32","472.41","467.76","-","0.37%"
"Aug 20, 2018","468.32","466.68","469.02","466.38","-","0.35%"
"Aug 17, 2018","466.68","465.69","467.48","464.73","-","0.21%"
"Aug 16, 2018","465.69","459.95","467.16","459.95","-","1.25%"
"Aug 15, 2018","459.95","463.08","463.08","457.69","-","-0.68%"
"Aug 14, 2018","463.08","459.14","464.24","459.14","-","0.86%"
"Aug 13, 2018","459.14","463.85","464.75","458.96","-","-1.02%"
"Aug 10, 2018","463.85","469.30","469.30","461.42","-","-1.16%"
"Aug 09, 2018","469.30","471.96","471.96","469.03","-","-0.56%"
"Aug 08, 2018","471.96","470.75","473.02","470.17","-","0.26%"
"Aug 07, 2018","470.75","468.48","473.71","468.48","-","0.48%"
"Aug 06, 2018","468.48","466.49","469.97","466.25","-","0.43%"
"Aug 03, 2018","466.49","464.02","466.53","463.23","-","0.53%"
"Aug 02, 2018","464.02","463.83","464.74","459.35","-","0.04%"
"Aug 01, 2018","463.83","463.85","468.97","462.75","-","-0.00%"
"Jul 31, 2018","463.85","467.04","468.36","462.88","-","-0.68%"
"Jul 30, 2018","467.04","466.93","470.54","466.56","-","0.02%"
"Jul 27, 2018","466.93","465.79","469.15","464.42","-","0.24%"
"Jul 26, 2018","465.79","466.36","469.04","465.46","-","-0.12%"
"Jul 25, 2018","466.36","465.17","466.97","462.40","-","0.26%"
"Jul 24, 2018","465.17","463.64","467.85","463.64","-","0.33%"
"Jul 23, 2018","463.64","457.59","464.36","457.22","-","1.32%"
"Jul 20, 2018","457.59","456.69","458.72","454.25","-","0.20%"
"Jul 19, 2018","456.69","463.37","463.37","456.05","-","-1.44%"
"Jul 18, 2018","463.37","456.39","464.42","456.39","-","1.53%"
"Jul 17, 2018","456.39","455.69","458.08","453.95","-","0.15%"
"Jul 16, 2018","455.69","447.65","456.08","447.65","-","1.80%"
"Jul 13, 2018","447.65","449.73","449.73","443.35","-","-0.46%"
"Jul 12, 2018","449.73","448.87","451.79","447.32","-","0.19%"
"Jul 11, 2018","448.87","451.21","451.26","448.17","-","-0.52%"
"Jul 10, 2018","451.21","452.89","454.50","449.99","-","-0.37%"
"Jul 09, 2018","452.89","442.61","453.32","442.61","-","2.32%"
"Jul 06, 2018","442.61","440.41","444.47","437.94","-","0.50%"
"Jul 05, 2018","440.41","439.39","442.27","439.17","-","0.23%"
"Jul 03, 2018","439.39","444.07","446.23","438.90","-","-1.05%"
"Jul 02, 2018","444.07","441.15","444.07","438.41","-","0.66%"
"Jun 29, 2018","441.15","441.71","449.55","441.07","-","-0.13%"
"Jun 28, 2018","441.71","437.95","443.58","437.20","-","0.86%"
"Jun 27, 2018","437.95","443.56","446.59","437.94","-","-1.26%"
"Jun 26, 2018","443.56","445.20","445.52","440.73","-","-0.37%"
"Jun 25, 2018","445.20","449.85","449.85","441.97","-","-1.03%"
"Jun 22, 2018","449.85","452.23","455.55","449.53","-","-0.53%"
"Jun 21, 2018","452.23","453.08","454.48","448.85","-","-0.19%"
"Jun 20, 2018","453.08","454.49","457.30","452.85","-","-0.31%"
"Jun 19, 2018","454.49","456.02","456.02","451.36","-","-0.34%"
"Jun 18, 2018","456.02","456.35","456.35","451.14","-","-0.07%"
"Jun 15, 2018","456.35","456.50","457.81","450.65","-","-0.03%"
"Jun 14, 2018","456.50","460.80","462.14","455.30","-","-0.93%"
"Jun 13, 2018","460.80","462.33","466.29","460.53","-","-0.33%"
"Jun 12, 2018","462.33","463.87","466.15","460.34","-","-0.33%"
"Jun 11, 2018","463.87","465.17","467.87","463.81","-","-0.28%"
"Jun 08, 2018","465.17","463.97","465.29","461.18","-","0.26%"
"Jun 07, 2018","463.97","462.98","466.31","461.33","-","0.21%"
"Jun 06, 2018","462.98","454.60","462.98","454.60","-","1.84%"
"Jun 05, 2018","454.60","456.53","456.53","452.16","-","-0.42%"
"Jun 04, 2018","456.53","455.23","457.88","455.23","-","0.29%"
"Jun 01, 2018","455.23","450.24","457.37","450.24","-","1.11%"
"May 31, 2018","450.24","454.32","454.32","448.72","-","-0.90%"
"May 30, 2018","454.32","445.67","455.68","445.67","-","1.94%"
"May 29, 2018","445.67","461.21","461.21","442.64","-","-3.37%"
"May 25, 2018","461.21","463.17","463.17","459.35","-","-0.42%"
"May 24, 2018","463.17","466.48","466.48","458.48","-","-0.71%"
"May 23, 2018","466.48","469.29","469.29","461.65","-","-0.60%"
"May 22, 2018","469.29","466.52","472.22","466.52","-","0.59%"
"May 21, 2018","466.52","463.09","468.23","463.09","-","0.74%"
"May 18, 2018","463.09","467.35","467.35","463.01","-","-0.91%"
"May 17, 2018","467.35","467.72","468.67","464.06","-","-0.08%"
"May 16, 2018","467.72","467.26","469.29","465.79","-","0.10%"
"May 15, 2018","467.26","468.00","469.58","465.41","-","-0.16%"
"May 14, 2018","468.00","468.28","470.50","467.23","-","-0.06%"
"May 11, 2018","468.28","468.64","471.34","467.46","-","-0.08%"
"May 10, 2018","468.64","465.01","469.58","463.53","-","0.78%"
"May 09, 2018","465.01","458.15","465.98","458.15","-","1.50%"
"May 08, 2018","458.15","455.09","461.20","455.09","-","0.67%"
"May 07, 2018","455.09","452.01","456.81","451.98","-","0.68%"
"May 04, 2018","452.01","446.46","454.32","442.28","-","1.24%"
"May 03, 2018","446.46","450.30","450.30","438.80","-","-0.85%"
"May 02, 2018","450.30","455.74","455.74","449.83","-","-1.19%"
"May 01, 2018","455.74","455.35","455.87","450.78","-","0.09%"
"Apr 30, 2018","455.35","459.78","463.14","455.35","-","-0.96%"
"Apr 27, 2018","459.78","459.10","460.75","457.46","-","0.15%"
"Apr 26, 2018","459.10","458.92","461.39","456.78","-","0.04%"
"Apr 25, 2018","458.92","459.21","461.16","454.25","-","-0.06%"
"Apr 24, 2018","459.21","462.36","467.44","456.16","-","-0.68%"
"Apr 23, 2018","462.36","462.86","464.44","460.74","-","-0.11%"
"Apr 20, 2018","462.86","462.64","465.34","460.65","-","0.05%"
"Apr 19, 2018","462.64","455.69","463.28","455.69","-","1.53%"
"Apr 18, 2018","455.69","457.38","460.68","454.69","-","-0.37%"
"Apr 17, 2018","457.38","457.72","461.84","456.01","-","-0.07%"
"Apr 16, 2018","457.72","455.57","460.82","455.57","-","0.47%"
"Apr 13, 2018","455.57","462.76","466.50","453.26","-","-1.55%"
"Apr 12, 2018","462.76","454.47","465.68","454.47","-","1.82%"
"Apr 11, 2018","454.47","460.25","460.25","453.59","-","-1.26%"
"Apr 10, 2018","460.25","453.19","462.72","453.19","-","1.56%"
"Apr 09, 2018","453.19","450.91","462.49","450.91","-","0.51%"
"Apr 06, 2018","450.91","462.18","462.18","446.77","-","-2.44%"
"Apr 05, 2018","462.18","459.01","465.28","459.01","-","0.69%"
"Apr 04, 2018","459.01","454.00","459.99","446.42","-","1.10%"
"Apr 03, 2018","454.00","447.80","454.77","446.64","-","1.38%"
"Apr 02, 2018","447.80","457.53","458.07","441.05","-","-2.13%"
"Mar 29, 2018","457.53","451.72","460.94","451.72","-","1.29%"
"Mar 28, 2018","451.72","450.99","455.96","446.22","-","0.16%"
"Mar 27, 2018","450.99","460.10","463.49","447.68","-","-1.98%"
"Mar 26, 2018","460.10","445.64","461.25","445.64","-","3.24%"
"Mar 23, 2018","445.64","459.37","461.94","444.86","-","-2.99%"
"Mar 22, 2018","459.37","477.01","477.01","458.14","-","-3.70%"
"Mar 21, 2018","477.01","477.18","483.29","475.64","-","-0.04%"
"Mar 20, 2018","477.18","476.20","479.33","476.15","-","0.21%"
"Mar 19, 2018","476.20","480.30","480.51","471.92","-","-0.85%"
"Mar 16, 2018","480.30","479.41","484.34","479.41","-","0.19%"
"Mar 15, 2018","479.41","478.99","481.86","477.92","-","0.09%"
"Mar 14, 2018","478.99","484.81","486.52","477.82","-","-1.20%"
"Mar 13, 2018","484.81","490.17","492.33","483.66","-","-1.09%"
"Mar 12, 2018","490.17","492.13","493.59","489.44","-","-0.40%"
"Mar 09, 2018","492.13","480.22","492.22","480.22","-","2.48%"
"Mar 08, 2018","480.22","478.92","480.77","475.13","-","0.27%"
"Mar 07, 2018","478.92","479.75","479.81","473.24","-","-0.17%"
"Mar 06, 2018","479.75","477.89","480.65","474.85","-","0.39%"
"Mar 05, 2018","477.89","471.44","480.28","467.51","-","1.37%"
"Mar 02, 2018","471.44","470.02","472.34","462.00","-","0.30%"
"Mar 01, 2018","470.02","478.88","482.13","467.42","-","-1.85%"
"Feb 28, 2018","478.88","485.11","489.52","478.68","-","-1.28%"
"Feb 27, 2018","485.11","489.69","493.30","485.10","-","-0.94%"
