"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 07, 2009","107.27","108.58","108.58","106.35","115.30M","-2.45%"
"Jan 06, 2009","109.96","110.44","111.43","108.49","149.31M","-0.43%"
"Jan 05, 2009","110.44","114.93","114.93","109.05","156.32M","-3.91%"
"Jan 02, 2009","114.93","111.70","115.12","111.45","114.17M","2.89%"
"Dec 31, 2008","111.70","110.30","113.06","109.73","88.00M","1.48%"
"Dec 30, 2008","110.07","108.78","110.07","107.99","86.20M","1.19%"
"Dec 29, 2008","108.78","109.16","109.44","106.96","68.79M","-0.38%"
"Dec 26, 2008","109.20","108.28","109.54","108.28","35.09M","0.85%"
"Dec 24, 2008","108.28","107.96","109.34","107.96","37.21M","0.30%"
"Dec 23, 2008","107.96","109.45","110.77","107.66","97.40M","-1.36%"
"Dec 22, 2008","109.45","109.85","111.18","107.15","129.51M","-0.36%"
"Dec 19, 2008","109.85","108.66","111.59","108.55","170.98M","1.10%"
"Dec 18, 2008","108.66","110.30","111.88","107.85","138.22M","-1.49%"
"Dec 17, 2008","110.30","110.03","112.30","107.84","101.14M","0.25%"
"Dec 16, 2008","110.03","105.40","110.90","105.40","149.87M","4.39%"
"Dec 15, 2008","105.40","108.79","108.79","103.47","150.78M","-3.12%"
"Dec 12, 2008","108.79","108.18","109.86","106.31","114.96M","0.56%"
"Dec 11, 2008","108.18","109.54","110.75","107.83","123.58M","-1.24%"
"Dec 10, 2008","109.54","112.50","114.21","108.59","126.55M","-2.63%"
"Dec 09, 2008","112.50","115.73","115.73","111.64","130.09M","-2.79%"
"Dec 08, 2008","115.73","110.21","117.74","110.21","140.14M","4.97%"
"Dec 05, 2008","110.25","108.64","111.76","104.61","123.53M","1.45%"
"Dec 04, 2008","108.67","112.25","113.84","106.92","122.95M","-3.19%"
"Dec 03, 2008","112.25","108.60","112.72","105.88","140.59M","3.36%"
"Dec 02, 2008","108.60","103.57","109.08","103.57","130.31M","4.86%"
"Dec 01, 2008","103.57","110.72","110.72","103.55","121.50M","-6.46%"
"Nov 28, 2008","110.72","109.84","111.26","108.95","52.17M","0.78%"
"Nov 26, 2008","109.86","104.49","110.65","101.49","119.79M","5.14%"
"Nov 25, 2008","104.49","102.34","106.12","102.01","140.91M","2.10%"
"Nov 24, 2008","102.34","95.41","105.10","95.41","184.60M","7.26%"
"Nov 21, 2008","95.41","91.26","95.81","88.27","203.80M","4.55%"
"Nov 20, 2008","91.26","94.66","99.20","90.52","204.89M","-3.59%"
"Nov 19, 2008","94.66","100.50","101.20","94.49","148.48M","-5.81%"
"Nov 18, 2008","100.50","101.85","103.49","96.69","150.75M","-1.33%"
"Nov 17, 2008","101.85","104.87","104.90","100.48","121.38M","-2.88%"
"Nov 14, 2008","104.87","108.69","109.64","102.72","166.09M","-3.51%"
"Nov 13, 2008","108.69","100.03","108.86","98.33","218.95M","8.66%"
"Nov 12, 2008","100.03","104.30","104.30","99.34","191.30M","-4.13%"
"Nov 11, 2008","104.34","106.64","106.71","103.22","116.26M","-2.16%"
"Nov 10, 2008","106.64","105.45","109.07","105.10","112.52M","1.13%"
"Nov 07, 2008","105.45","102.34","105.70","102.34","124.67M","3.04%"
