"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2001","399.68","399.68","399.68","399.68","-","0.28%"
"Nov 30, 2001","398.56","398.56","398.56","398.56","-","0.13%"
"Nov 29, 2001","398.06","398.06","398.06","398.06","-","0.54%"
"Nov 28, 2001","395.92","395.92","395.92","395.92","-","-0.75%"
"Nov 27, 2001","398.91","398.91","398.91","398.91","-","-0.73%"
"Nov 26, 2001","401.86","401.86","401.86","401.86","-","0.55%"
"Nov 23, 2001","399.65","399.65","399.65","399.65","-","0.29%"
"Nov 21, 2001","398.48","398.48","398.48","398.48","-","1.25%"
"Nov 20, 2001","393.56","393.56","393.56","393.56","-","0.76%"
"Nov 19, 2001","390.59","390.59","390.59","390.59","-","1.13%"
"Nov 16, 2001","386.22","386.22","386.22","386.22","-","0.42%"
"Nov 15, 2001","384.59","384.59","384.59","384.59","-","0.37%"
"Nov 14, 2001","383.16","383.16","383.16","383.16","-","-0.41%"
"Nov 13, 2001","384.73","384.73","384.73","384.73","-","0.61%"
"Nov 12, 2001","382.41","382.41","382.41","382.41","-","-0.01%"
"Nov 09, 2001","382.45","382.45","382.45","382.45","-","-0.42%"
"Nov 08, 2001","384.05","384.05","384.05","384.05","-","-0.28%"
"Nov 07, 2001","385.13","385.13","385.13","385.13","-","-0.73%"
"Nov 06, 2001","387.95","387.95","387.95","387.95","-","0.78%"
"Nov 05, 2001","384.95","384.95","384.95","384.95","-","0.20%"
"Nov 02, 2001","384.17","384.17","384.17","384.17","-","-0.23%"
"Nov 01, 2001","385.04","385.04","385.04","385.04","-","1.17%"
"Oct 31, 2001","380.60","380.60","380.60","380.60","-","-0.69%"
"Oct 30, 2001","383.23","383.23","383.23","383.23","-","-1.20%"
"Oct 29, 2001","387.87","387.87","387.87","387.87","-","-0.76%"
"Oct 26, 2001","390.85","390.85","390.85","390.85","-","-0.25%"
"Oct 25, 2001","391.81","391.81","391.81","391.81","-","0.30%"
"Oct 24, 2001","390.63","390.63","390.63","390.63","-","-0.32%"
"Oct 23, 2001","391.90","391.90","391.90","391.90","-","-1.59%"
"Oct 22, 2001","398.22","398.22","398.22","398.22","-","1.95%"
"Oct 19, 2001","390.61","390.61","390.61","390.61","-","0.48%"
"Oct 18, 2001","388.74","388.74","388.74","388.74","-","-0.62%"
"Oct 17, 2001","391.16","391.16","391.16","391.16","-","-0.57%"
"Oct 16, 2001","393.39","393.39","393.39","393.39","-","0.10%"
"Oct 15, 2001","392.98","392.98","392.98","392.98","-","1.11%"
"Oct 12, 2001","388.68","388.68","388.68","388.68","-","0.32%"
"Oct 11, 2001","387.43","387.43","387.43","387.43","-","-0.94%"
"Oct 10, 2001","391.11","391.11","391.11","391.11","-","1.66%"
"Oct 09, 2001","384.73","384.73","384.73","384.73","-","-0.49%"
"Oct 08, 2001","386.63","386.63","386.63","386.63","-","-0.66%"
"Oct 05, 2001","389.19","389.19","389.19","389.19","-","1.29%"
"Oct 04, 2001","384.23","384.23","384.23","384.23","-","-0.57%"
"Oct 03, 2001","386.44","386.44","386.44","386.44","-","-1.09%"
"Oct 02, 2001","390.69","390.69","390.69","390.69","-","0.66%"
"Oct 01, 2001","388.12","388.12","388.12","388.12","-","1.39%"
"Sep 28, 2001","382.79","382.79","382.79","382.79","-","0.72%"
"Sep 27, 2001","380.04","380.04","380.04","380.04","-","3.10%"
"Sep 26, 2001","368.60","368.60","368.60","368.60","-","2.25%"
"Sep 25, 2001","360.49","360.49","360.49","360.49","-","1.48%"
"Sep 24, 2001","355.25","355.25","355.25","355.25","-","0.56%"
"Sep 21, 2001","353.28","353.28","353.28","353.28","-","-2.47%"
"Sep 20, 2001","362.21","362.21","362.21","362.21","-","-1.21%"
"Sep 19, 2001","366.65","366.65","366.65","366.65","-","-1.57%"
"Sep 18, 2001","372.51","372.51","372.51","372.51","-","-1.16%"
"Sep 17, 2001","376.88","376.88","376.88","376.88","-","-0.60%"
"Sep 10, 2001","379.15","379.15","379.15","379.15","-","1.32%"
"Sep 07, 2001","374.20","374.20","374.20","374.20","-","-2.27%"
"Sep 06, 2001","382.90","382.90","382.90","382.90","-","-1.77%"
"Sep 05, 2001","389.79","389.79","389.79","389.79","-","1.75%"
"Sep 04, 2001","383.07","383.07","383.07","383.07","-","1.52%"
"Aug 31, 2001","377.34","377.34","377.34","377.34","-","-0.99%"
"Aug 30, 2001","381.13","381.13","381.13","381.13","-","-0.83%"
"Aug 29, 2001","384.33","384.33","384.33","384.33","-","-0.92%"
"Aug 28, 2001","387.90","387.90","387.90","387.90","-","-1.31%"
"Aug 27, 2001","393.03","393.03","393.03","393.03","-","-0.55%"
"Aug 24, 2001","395.19","395.19","395.19","395.19","-","0.92%"
"Aug 23, 2001","391.58","391.58","391.58","391.58","-","-0.15%"
"Aug 22, 2001","392.18","392.18","392.18","392.18","-","0.86%"
"Aug 21, 2001","388.83","388.83","388.83","388.83","-","-0.32%"
"Aug 20, 2001","390.09","390.09","390.09","390.09","-","0.88%"
"Aug 17, 2001","386.69","386.69","386.69","386.69","-","-0.58%"
"Aug 16, 2001","388.94","388.94","388.94","388.94","-","-0.13%"
"Aug 15, 2001","389.45","389.45","389.45","389.45","-","-0.17%"
"Aug 14, 2001","390.13","390.13","390.13","390.13","-","0.06%"
"Aug 13, 2001","389.91","389.91","389.91","389.91","-","0.67%"
"Aug 10, 2001","387.33","387.33","387.33","387.33","-","1.09%"
"Aug 09, 2001","383.17","383.17","383.17","383.17","-","0.33%"
"Aug 08, 2001","381.90","381.90","381.90","381.90","-","-1.19%"
"Aug 07, 2001","386.48","386.48","386.48","386.48","-","0.61%"
"Aug 06, 2001","384.15","384.15","384.15","384.15","-","-0.32%"
"Aug 03, 2001","385.37","385.37","385.37","385.37","-","-0.18%"
"Aug 02, 2001","386.07","386.07","386.07","386.07","-","-0.68%"
"Aug 01, 2001","388.73","388.73","388.73","388.73","-","-0.82%"
"Jul 31, 2001","391.95","391.95","391.95","391.95","-","2.00%"
"Jul 30, 2001","384.26","384.26","384.26","384.26","-","0.80%"
"Jul 27, 2001","381.20","381.20","381.20","381.20","-","0.20%"
"Jul 26, 2001","380.45","380.45","380.45","380.45","-","0.27%"
"Jul 25, 2001","379.44","379.44","379.44","379.44","-","0.87%"
"Jul 24, 2001","376.18","376.18","376.18","376.18","-","-1.43%"
"Jul 23, 2001","381.63","381.63","381.63","381.63","-","-1.48%"
"Jul 20, 2001","387.37","387.37","387.37","387.37","-","0.48%"
"Jul 19, 2001","385.51","385.51","385.51","385.51","-","0.00%"
"Jul 18, 2001","385.50","385.50","385.50","385.50","-","2.97%"
"Jul 17, 2001","374.38","374.38","374.38","374.38","-","1.47%"
"Jul 16, 2001","368.97","368.97","368.97","368.97","-","-0.50%"
"Jul 13, 2001","370.82","370.82","370.82","370.82","-","1.22%"
"Jul 12, 2001","366.35","366.35","366.35","366.35","-","-1.46%"
"Jul 11, 2001","371.79","371.79","371.79","371.79","-","-0.97%"
